neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","Selon Gran, l'entreprise n'a pas l'intention de déplacer toute la production en Russie, bien que ce soit où la société est en pleine croissance."
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Technopolis plans pour développer par étapes une superficie de pas moins de 100 000 mètres carrés pour les entreprises d'accueil travaillant dans les technologies informatiques et des télécommunications, selon le communiqué."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","La société de l'industrie électronique internationale Elcoteq a mis à pied des dizaines d'employés de son usine de Tallinn; contrairement à des mises à pied plus tôt la compagnie a retenu les rangs de ses employés de bureau, le quotidien Postimees rapporté."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,Avec la nouvelle usine de production de l'entreprise augmenterait sa capacité à répondre à l'augmentation attendue de la demande et améliorerait l'utilisation des matières premières et donc d'augmenter la rentabilité de la production.
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","Selon la stratégie entreprise est mise à jour pour les années 2009-2012, Basware vise une croissance des ventes nettes à long terme de l'ordre de 20% à 40% avec une marge bénéficiaire d'exploitation de 10% à 20% du chiffre d'affaires."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,FINANCEMENT DE « Aspocomp S CROISSANCE Aspocomp poursuit agressivement sa stratégie de croissance en se concentrant de plus en plus technologiquement plus exigeants PCB des cartes de circuits imprimés HDI.
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","Pour le dernier trimestre de 2010, les ventes nettes de Componenta doublé à EUR131m de EUR76m pour la même période un an plus tôt, alors qu'il a déménagé à un bénéfice avant impôts zéro d'une perte avant impôts de EUR7m."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","Au cours du troisième trimestre de 2010, les ventes nettes ont augmenté de 5,2% à EUR 205,5 mn, et le résultat opérationnel de 34,9% à EUR 23,5 mn."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"Le bénéfice d'exploitation a augmenté à EUR 13,1 mn de EUR 8,7 mn pour la période correspondante en 2007, soit 7,7% du chiffre d'affaires."
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Le bénéfice d'exploitation a atteint EUR 21,1 mn, à partir de EUR 18.6 mn en 2007, ce qui représente 9,7% du chiffre d'affaires."
